OrderID,ReturnDate,Reason
ORD175721,2025-05-14,Late Delivery
ORD180184,2024-09-13,Wrong Item
ORD119864,2024-02-16,Wrong Item
ORD176699,2024-11-29,Wrong Item
ORD192991,2025-06-08,Damaged
ORD176434,2025-02-04,Wrong Item
ORD184004,2025-05-12,Wrong Item
ORD180917,2024-12-25,Damaged
ORD160767,2025-06-17,Damaged
ORD150074,2024-05-11,Damaged
ORD127701,2024-03-22,Late Delivery
ORD142141,2024-12-16,Late Delivery
ORD145080,2024-12-25,Damaged
ORD116638,2025-05-31,Damaged
ORD120424,2025-02-25,Wrong Item
ORD188702,2024-07-30,Late Delivery
ORD100149,2025-04-12,Damaged
ORD101761,2025-03-05,Late Delivery
ORD163120,2024-09-29,Not Needed
ORD169161,2024-10-19,Wrong Item
ORD164883,2025-05-09,Wrong Item
ORD102495,2025-03-10,Not Needed
ORD180296,2024-10-25,Damaged
ORD119447,2025-06-16,Wrong Item
ORD141331,2025-06-05,Damaged
ORD114888,2024-12-10,Wrong Item
ORD188636,2025-07-01,Wrong Item
ORD194892,2025-05-31,Late Delivery
ORD192731,2025-04-23,Damaged
ORD129130,2025-05-21,Late Delivery
ORD179022,2025-04-22,Not Needed
ORD184936,2025-01-01,Damaged
ORD116821,2024-05-09,Damaged
ORD136733,2025-01-19,Not Needed
ORD115602,2025-06-11,Not Needed
ORD128533,2023-08-21,Wrong Item
ORD169769,2025-06-29,Not Needed
ORD111405,2024-10-25,Not Needed
ORD196852,2025-06-04,Damaged
ORD116130,2024-05-15,Late Delivery
ORD119792,2024-02-21,Late Delivery
ORD189577,2025-06-26,Late Delivery
ORD140163,2025-06-16,Late Delivery
ORD131776,2024-12-20,Late Delivery
ORD125330,2024-11-16,Damaged
ORD179156,2025-05-11,Wrong Item
ORD151685,2025-05-31,Damaged
ORD175498,2025-03-02,Wrong Item
ORD104727,2023-10-25,Not Needed
ORD185198,2025-05-10,Not Needed
ORD135795,2024-12-09,Not Needed
ORD112256,2025-02-19,Wrong Item
ORD135718,2025-06-14,Damaged
ORD170551,2025-04-17,Not Needed
ORD154374,2024-09-11,Not Needed
ORD139691,2024-06-10,Late Delivery
ORD193702,2025-03-12,Wrong Item
ORD173691,2024-08-06,Damaged
ORD198070,2025-04-09,Damaged
ORD100575,2024-09-01,Late Delivery
ORD184610,2024-05-05,Not Needed
ORD161769,2024-09-29,Not Needed
ORD132260,2024-05-02,Damaged
ORD182199,2025-06-19,Not Needed
ORD136290,2024-07-30,Not Needed
ORD178449,2025-04-22,Wrong Item
ORD160055,2025-02-13,Wrong Item
ORD145948,2025-04-28,Wrong Item
ORD128177,2025-02-17,Late Delivery
ORD184463,2025-07-02,Wrong Item
ORD100578,2025-06-26,Late Delivery
ORD130959,2025-01-29,Late Delivery
ORD164290,2025-02-08,Late Delivery
ORD114531,2024-12-26,Late Delivery
ORD117933,2025-02-06,Damaged
ORD133608,2025-01-10,Wrong Item
ORD149959,2025-04-01,Wrong Item
ORD166598,2024-11-24,Wrong Item
ORD199089,2024-11-25,Damaged
ORD134451,2025-05-07,Late Delivery
ORD134080,2024-08-11,Damaged
